timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723282868287,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282868248,458,HTTP Request,200,OK,Thread Group 1-2,text,false,,1216,119,2,2,https://www.boredapi.com,458,0,310
1723282868706,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282868288,467,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,2,2,https://www.boredapi.com,467,0,319
1723282868755,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282868707,484,HTTP Request,200,OK,Thread Group 1-2,text,false,,1216,119,2,2,https://www.boredapi.com,484,0,320
1723282869191,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282868755,484,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,2,2,https://www.boredapi.com,484,0,321
1723282869239,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282869192,451,HTTP Request,200,OK,Thread Group 1-2,text,false,,1216,119,2,2,https://www.boredapi.com,451,0,302
1723282869643,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282869240,453,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,2,2,https://www.boredapi.com,453,0,303
1723282869693,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282869644,446,HTTP Request,200,OK,Thread Group 1-2,text,false,,1220,119,2,2,https://www.boredapi.com,446,0,299
1723282870090,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282869693,475,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,2,2,https://www.boredapi.com,475,0,319
1723282870168,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282870091,444,HTTP Request,200,OK,Thread Group 1-2,text,false,,1220,119,2,2,https://www.boredapi.com,444,0,295
1723282870535,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282870169,461,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,2,2,https://www.boredapi.com,461,0,310
1723282870630,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282870536,459,HTTP Request,200,OK,Thread Group 1-2,text,false,,1216,119,2,2,https://www.boredapi.com,458,0,307
1723282870995,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
1723282870630,453,HTTP Request,200,OK,Thread Group 1-1,text,false,,1216,119,2,2,https://www.boredapi.com,453,0,303
1723282871083,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,2,2,https://www.boredapi.com,0,0,0
